,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
2019-01-01,1018.0,1023.5,2019-01-01T09:43:00,1012.8,2019-01-14T15:12:00,20.0,28.2,2019-01-05T14:22:00,12.5,2019-01-23T05:01:00,81,10,2019-01-05T06:27:00,2.5,19,10.8,19,2019-01-21T08:07:00,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,2019-01-21T00:00:00,,0,,,1,,,,,,,,,,1,0,,,100,2019-01-19T03:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,
2019-02-01,1016.1,1022.8,2019-02-12T08:51:00,1010.4,2019-02-07T15:21:00,22.2,30.6,2019-02-07T12:41:00,16.0,2019-02-01T06:55:00,79,26,2019-02-07T12:12:00,2.5,2,11.0,10,2019-02-22T17:02:00,3.5,,,,,,,,,,,,,,,,,,,,,,,1.0,2019-02-03T00:00:00,,0,,,1,,,,,,,,,,4,0,,,100,2019-02-19T04:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,
2019-03-01,1013.3,1018.8,2019-03-15T09:22:00,1007.1,2019-03-03T04:23:00,22.6,30.3,2019-03-20T11:03:00,14.1,2019-03-08T02:50:00,81,44,2019-03-12T12:51:00,2.1,30,12.5,5,2019-03-03T12:48:00,75.0,,,,,,,,,,,,,,,,,,,,,,,25.0,2019-03-09T00:00:00,,0,,,1,,,,,,,,,,9,1,,,100,2019-03-22T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,
2019-04-01,1010.5,1018.5,2019-04-01T08:21:00,1004.5,2019-04-30T15:36:00,25.9,32.6,2019-04-20T11:22:00,19.3,2019-04-02T01:42:00,81,44,2019-04-20T11:13:00,2.0,29,13.9,305,2019-04-19T14:47:00,96.5,,,,,,,,,,,,,,,,,,,,,,,74.0,2019-04-19T00:00:00,,0,,,0,,51.0,0.0,,2019-04-19T05:00:00,,,0.0,,3,0,,,100,2019-04-25T02:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2019-05-01,1007.9,1012.8,2019-05-03T10:27:00,1003.4,2019-05-18T03:01:00,26.9,34.3,2019-05-14T13:33:00,20.3,2019-05-07T22:03:00,85,55,2019-05-22T13:02:00,1.7,26,10.0,35,2019-05-20T15:24:00,152.0,,,,,,,,,,,,,,,,,,,,,,,68.0,2019-05-20T00:00:00,,1,,,1,,38.5,1.0,,2019-05-20T17:00:00,,,0.0,,14,1,,,100,2019-05-07T09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2019-06-01,1005.3,1010.6,2019-06-05T22:03:00,998.4,2019-06-14T14:41:00,29.1,34.0,2019-06-03T15:41:00,24.0,2019-06-10T14:48:00,86,44,2019-06-03T15:07:00,1.8,134,15.7,289,2019-06-10T14:43:00,286.0,,,,,,,,,,,,,,,,,,,,,,,67.0,2019-06-11T00:00:00,,0,,,0,,19.0,0.0,,2019-06-11T10:00:00,,,0.0,,14,0,,,100,2019-06-04T09:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2019-07-01,1004.5,1010.4,2019-07-11T22:23:00,992.5,2019-07-17T16:52:00,29.1,34.6,2019-07-29T11:12:00,24.2,2019-07-21T08:29:00,88,10,2019-07-09T14:02:00,2.0,133,15.3,234,2019-07-03T09:27:00,619.5,,,,,,,,,,,,,,,,,,,,,,,120.5,2019-07-03T00:00:00,,0,,,0,,80.5,0.0,,2019-07-19T17:00:00,,,0.0,,20,0,,,100,2019-07-12T01:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2019-08-01,1001.6,1009.6,2019-08-26T21:37:00,982.5,2019-08-24T15:31:00,28.6,33.5,2019-08-08T13:44:00,24.0,2019-08-13T11:21:00,91,59,2019-08-01T19:51:00,2.3,141,20.3,150,2019-08-24T22:34:00,909.5,,,,,,,,,,,,,,,,,,,,,,,257.0,2019-08-13T00:00:00,,0,,,0,,68.0,0.0,,2019-08-01T17:00:00,,,0.0,,22,0,,,100,2019-08-06T17:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2019-09-01,1006.1,1015.3,2019-09-24T09:01:00,995.5,2019-09-30T15:32:00,28.4,33.8,2019-09-17T14:25:00,20.3,2019-09-02T07:56:00,78,40,2019-09-23T12:53:00,2.0,3,14.7,12,2019-09-21T01:50:00,150.5,,,,,,,,,,,,,,,,,,,,,,,96.0,2019-09-04T00:00:00,,0,,,0,,48.0,0.0,,2019-09-04T09:00:00,,,0.0,,9,0,,,100,2019-09-04T02:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2019-10-01,1011.6,1016.0,2019-10-15T08:52:00,1001.0,2019-10-01T00:01:00,26.9,40.2,2019-10-06T11:01:00,22.0,2019-10-20T05:58:00,73,42,2019-10-15T14:52:00,2.0,25,12.0,352,2019-10-01T00:59:00,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2019-10-26T00:00:00,,1,,,1,,0.0,1.0,,2019-10-26T01:00:00,,,0.0,,0,1,,,98,2019-10-07T03:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
