,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2023-01-01,1017.0,1018.5,2023-01-01T08:32:00,1015.0,2023-01-01T15:32:00,18.9,21.7,2023-01-01T14:32:00,17.1,2023-01-01T04:56:00,85.0,75.0,2023-01-01T12:38:00,1.7,3.0,6.6,348.0,2023-01-01T15:39:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02,1017.0,1018.6,2023-01-02T09:01:00,1014.7,2023-01-02T15:12:00,18.8,20.0,2023-01-02T14:43:00,17.9,2023-01-02T23:55:00,94.0,90.0,2023-01-02T00:01:00,2.0,6.0,7.2,28.0,2023-01-02T04:17:00,5.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-03,1017.1,1019.0,2023-01-03T08:51:00,1015.5,2023-01-03T16:23:00,18.3,21.5,2023-01-03T13:43:00,16.6,2023-01-03T23:41:00,84.0,73.0,2023-01-03T13:51:00,2.1,3.0,8.1,21.0,2023-01-03T11:25:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-04,1017.2,1018.9,2023-01-04T08:31:00,1015.0,2023-01-04T15:41:00,18.5,24.3,2023-01-04T14:15:00,16.0,2023-01-04T06:04:00,78.0,59.0,2023-01-04T14:12:00,2.0,5.0,6.9,348.0,2023-01-04T09:09:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-05,1017.2,1018.2,2023-01-05T21:41:00,1014.5,2023-01-05T00:01:00,19.0,24.7,2023-01-05T15:39:00,18.2,2023-01-05T21:44:00,84.0,63.0,2023-01-05T15:42:00,1.9,1.0,7.0,1.0,2023-01-05T17:47:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-06,1016.2,1018.5,2023-01-06T08:51:00,1013.4,2023-01-06T15:31:00,19.2,23.4,2023-01-06T14:21:00,16.5,2023-01-06T23:51:00,83.0,67.0,2023-01-06T14:21:00,2.4,3.0,10.0,349.0,2023-01-06T14:36:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-07,1014.5,1016.2,2023-01-07T21:53:00,1012.1,2023-01-07T14:43:00,19.8,26.9,2023-01-07T13:36:00,15.9,2023-01-07T03:36:00,72.0,48.0,2023-01-07T13:36:00,1.5,18.0,5.9,33.0,2023-01-07T08:18:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-08,1015.6,1016.9,2023-01-08T08:45:00,1014.1,2023-01-08T15:21:00,20.2,25.9,2023-01-08T15:02:00,16.4,2023-01-08T06:57:00,73.0,53.0,2023-01-08T14:57:00,1.2,306.0,5.3,344.0,2023-01-08T14:46:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-09,1015.1,1017.3,2023-01-09T10:01:00,1012.5,2023-01-09T15:11:00,19.5,24.9,2023-01-09T15:11:00,17.1,2023-01-09T00:45:00,84.0,55.0,2023-01-09T15:04:00,1.6,2.0,7.1,1.0,2023-01-09T16:54:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-10,1013.6,1015.3,2023-01-10T00:02:00,1011.5,2023-01-10T14:46:00,20.2,23.9,2023-01-10T14:13:00,18.2,2023-01-10T02:11:00,84.0,68.0,2023-01-10T14:46:00,1.8,348.0,6.7,352.0,2023-01-10T14:32:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-11,1012.9,1014.7,2023-01-11T09:23:00,1010.7,2023-01-11T14:31:00,19.8,23.4,2023-01-11T13:21:00,18.2,2023-01-11T04:51:00,88.0,70.0,2023-01-11T13:26:00,1.8,358.0,6.6,332.0,2023-01-11T13:59:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-12,1011.4,1013.2,2023-01-12T00:01:00,1009.4,2023-01-12T14:12:00,20.7,27.0,2023-01-12T14:01:00,17.7,2023-01-12T03:59:00,85.0,57.0,2023-01-12T13:32:00,1.4,5.0,5.4,314.0,2023-01-12T14:21:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
