,StnPres,Tx,RH,WS,WD,Precp
2023-01-01 01:00:00,984.8,16.4,100,0.0,0.0,3.5
2023-01-01 02:00:00,984.3,16.2,100,0.6,1.0,2.5
2023-01-01 03:00:00,984.2,16.1,100,0.0,0.0,1.5
2023-01-01 04:00:00,984.1,16.2,100,0.0,0.0,1.0
2023-01-01 05:00:00,984.4,16.2,100,0.0,0.0,1.5
2023-01-01 06:00:00,985.0,16.2,100,0.6,321.0,0.5
2023-01-01 07:00:00,985.4,16.4,100,0.3,338.0,0.5
2023-01-01 08:00:00,986.0,16.5,100,1.7,350.0,0.0
2023-01-01 09:00:00,986.3,16.8,100,0.0,0.0,1.5
2023-01-01 10:00:00,986.3,16.9,100,1.6,13.0,0.5
2023-01-01 11:00:00,985.9,17.1,100,1.0,44.0,0.5
2023-01-01 12:00:00,984.8,16.5,100,0.0,0.0,1.5
2023-01-01 13:00:00,983.8,17.2,100,0.0,0.0,0.0
2023-01-01 14:00:00,983.3,16.9,100,0.4,322.0,1.0
2023-01-01 15:00:00,983.1,16.7,100,0.0,0.0,0.5
2023-01-01 16:00:00,983.4,16.2,100,0.3,316.0,1.0
2023-01-01 17:00:00,983.9,16.2,100,0.0,0.0,0.5
2023-01-01 18:00:00,984.4,16.1,100,0.5,32.0,1.0
2023-01-01 19:00:00,984.9,16.1,100,0.9,3.0,0.5
2023-01-01 20:00:00,985.3,16.0,100,0.1,0.0,0.0
2023-01-01 21:00:00,985.3,15.9,100,0.0,0.0,1.0
2023-01-01 22:00:00,985.4,15.8,100,0.0,0.0,0.0
2023-01-01 23:00:00,985.1,15.8,100,0.0,0.0,0.0
2023-01-02 00:00:00,984.7,16.0,100,0.0,0.0,0.5
2023-01-02 01:00:00,984.5,15.9,100,0.0,0.0,0.0
2023-01-02 02:00:00,984.0,16.0,100,1.6,327.0,0.0
2023-01-02 03:00:00,983.5,16.3,100,1.4,27.0,0.5
2023-01-02 04:00:00,983.5,16.1,100,0.7,329.0,2.5
2023-01-02 05:00:00,983.8,16.1,100,1.2,335.0,4.0
2023-01-02 06:00:00,984.3,16.1,100,0.3,339.0,2.0
2023-01-02 07:00:00,984.7,16.2,100,0.2,0.0,0.5
2023-01-02 08:00:00,985.3,16.4,100,0.0,0.0,2.5
2023-01-02 09:00:00,985.6,17.0,100,0.0,0.0,0.5
2023-01-02 10:00:00,985.5,17.0,100,0.7,321.0,1.0
2023-01-02 11:00:00,985.1,17.0,100,1.0,347.0,4.5
2023-01-02 12:00:00,984.3,17.8,100,0.6,23.0,4.5
2023-01-02 13:00:00,983.4,17.2,100,1.6,71.0,10.0
2023-01-02 14:00:00,982.9,17.0,100,0.0,0.0,6.5
2023-01-02 15:00:00,982.3,17.0,100,1.8,322.0,5.0
2023-01-02 16:00:00,982.7,16.9,100,2.1,41.0,6.0
2023-01-02 17:00:00,983.3,16.6,100,0.0,0.0,1.0
2023-01-02 18:00:00,984.0,15.9,100,1.5,37.0,2.0
2023-01-02 19:00:00,984.6,15.9,100,0.0,0.0,0.5
2023-01-02 20:00:00,985.0,15.9,100,0.3,316.0,0.0
2023-01-02 21:00:00,985.4,16.1,100,1.2,255.0,0.5
2023-01-02 22:00:00,985.4,15.6,100,1.6,242.0,2.0
2023-01-02 23:00:00,985.0,15.6,100,2.7,245.0,0.0
2023-01-03 00:00:00,984.7,15.6,100,0.1,0.0,0.0
2023-01-03 01:00:00,984.2,15.7,100,1.6,242.0,0.0
2023-01-03 02:00:00,983.7,15.7,100,1.5,237.0,0.0
2023-01-03 03:00:00,983.2,16.3,100,0.0,0.0,0.0
2023-01-03 04:00:00,983.3,16.4,100,0.0,0.0,0.0
2023-01-03 05:00:00,983.4,16.1,100,0.0,0.0,0.0
2023-01-03 06:00:00,983.7,16.4,100,0.4,345.0,0.0
2023-01-03 07:00:00,984.6,16.9,100,0.0,0.0,0.0
2023-01-03 08:00:00,985.0,17.7,100,0.0,0.0,0.0
2023-01-03 09:00:00,985.2,18.7,90,1.4,16.0,0.0
2023-01-03 10:00:00,985.0,19.0,88,2.0,52.0,0.0
2023-01-03 11:00:00,984.4,19.4,88,2.0,59.0,0.0
2023-01-03 12:00:00,983.6,18.9,94,2.8,45.0,0.0
