,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Meanf
2026-01-22,998.1,999.8,2026-01-22T08:51:00,995.8,2026-01-22T14:39:00,13.4,17.2,2026-01-22T13:54:00,11.6,2026-01-22T05:16:00,92,70,2026-01-22T13:55:00,0.9,85,5.4,100,2026-01-22T14:56:00,5.5,,,,,,,,,,,,,,,,,,,,,,,1.0,2026-01-22T05:00:00,,,0,,100,2026-01-22T04:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-23,997.9,1000.4,2026-01-23T08:53:00,995.4,2026-01-23T15:02:00,15.9,22.3,2026-01-23T10:19:00,12.1,2026-01-23T03:25:00,86,59,2026-01-23T10:25:00,0.6,97,5.9,108,2026-01-23T14:15:00,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2026-01-23T01:00:00,,,0,,100,2026-01-23T03:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-24,996.8,998.6,2026-01-24T09:11:00,995.1,2026-01-24T14:48:00,16.4,21.9,2026-01-24T14:01:00,14.0,2026-01-24T06:34:00,94,74,2026-01-24T14:04:00,0.5,83,5.9,75,2026-01-24T12:43:00,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,2026-01-24T23:00:00,,,0,,100,2026-01-24T06:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-25,996.9,998.7,2026-01-25T08:52:00,994.9,2026-01-25T14:45:00,17.2,22.7,2026-01-25T12:10:00,14.9,2026-01-25T02:42:00,95,73,2026-01-25T12:10:00,0.4,313,4.7,76,2026-01-25T12:36:00,2.5,,,,,,,,,,,,,,,,,,,,,,,1.0,2026-01-25T20:00:00,,,0,,100,2026-01-25T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-26,995.2,997.5,2026-01-26T00:01:00,992.0,2026-01-26T14:31:00,18.9,26.4,2026-01-26T14:25:00,15.9,2026-01-26T04:12:00,89,55,2026-01-26T14:46:00,0.7,214,4.3,189,2026-01-26T13:42:00,2.5,,,,,,,,,,,,,,,,,,,,,,,1.5,2026-01-26T03:00:00,,,0,,100,2026-01-26T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-27,994.6,996.5,2026-01-27T21:19:00,992.7,2026-01-27T13:40:00,17.1,22.7,2026-01-27T13:26:00,14.7,2026-01-27T06:20:00,95,70,2026-01-27T10:49:00,0.6,99,6.4,97,2026-01-27T12:42:00,2.0,,,,,,,,,,,,,,,,,,,,,,,1.5,2026-01-27T17:00:00,,,0,,100,2026-01-27T01:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28,996.6,998.5,2026-01-28T21:45:00,994.9,2026-01-28T13:50:00,16.3,20.2,2026-01-28T11:38:00,14.2,2026-01-28T23:44:00,93,72,2026-01-28T11:40:00,0.5,318,6.9,79,2026-01-28T12:14:00,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,2026-01-28T18:00:00,,,0,,100,2026-01-28T19:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29,997.6,999.7,2026-01-29T09:10:00,995.6,2026-01-29T15:02:00,16.2,20.5,2026-01-29T14:35:00,14.0,2026-01-29T05:05:00,92,69,2026-01-29T13:52:00,0.6,97,4.0,88,2026-01-29T11:45:00,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2026-01-29T01:00:00,,,0,,100,2026-01-29T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-30,996.3,998.5,2026-01-30T08:41:00,994.0,2026-01-30T15:08:00,17.7,21.5,2026-01-30T12:05:00,15.1,2026-01-30T03:44:00,92,75,2026-01-30T10:38:00,0.6,81,4.7,82,2026-01-30T13:14:00,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2026-01-30T01:00:00,,,0,,100,2026-01-30T00:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-31,995.4,998.0,2026-01-31T21:44:00,993.3,2026-01-31T14:57:00,17.8,23.0,2026-01-31T10:23:00,15.6,2026-01-31T23:29:00,94,71,2026-01-31T10:32:00,0.7,94,7.4,6,2026-01-31T16:28:00,2.0,,,,,,,,,,,,,,,,,,,,,,,0.5,2026-01-31T18:00:00,,,0,,100,2026-01-31T00:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
