,Precp
2017-01-01,2.0
2017-01-02,4.0
2017-01-03,10.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.5
2017-01-07,0.0
2017-01-08,4.5
2017-01-09,4.0
2017-01-10,0.0
2017-01-11,7.0
2017-01-12,0.0
2017-01-13,13.0
2017-01-14,9.0
2017-01-15,3.0
2017-01-16,4.5
2017-01-17,0.0
2017-01-18,1.5
2017-01-19,0.5
2017-01-20,4.5
2017-01-21,0.5
2017-01-22,0.0
2017-01-23,1.0
2017-01-24,1.0
2017-01-25,0.5
2017-01-26,0.5
2017-01-27,0.0
2017-01-28,2.0
2017-01-29,0.0
2017-01-30,1.5
2017-01-31,11.5
2017-02-01,4.0
2017-02-02,4.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,23.5
2017-02-06,2.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,7.5
2017-02-10,0.0
2017-02-11,0.5
2017-02-12,4.0
2017-02-13,0.5
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,1.0
2017-02-19,1.0
2017-02-20,0.0
2017-02-21,5.5
2017-02-22,3.5
2017-02-23,12.0
2017-02-24,11.0
2017-02-25,17.5
2017-02-26,12.0
2017-02-27,1.5
2017-02-28,0.0
2017-03-01,5.0
2017-03-02,0.0
2017-03-03,0.5
2017-03-04,0.0
2017-03-05,6.0
2017-03-06,9.5
2017-03-07,16.0
2017-03-08,19.0
2017-03-09,10.0
2017-03-10,9.0
2017-03-11,2.5
2017-03-12,5.5
2017-03-13,6.0
2017-03-14,10.0
2017-03-15,0.0
2017-03-16,1.5
2017-03-17,3.0
2017-03-18,1.0
2017-03-19,0.0
2017-03-20,42.5
2017-03-21,10.5
2017-03-22,0.0
2017-03-23,4.0
2017-03-24,2.0
2017-03-25,8.5
2017-03-26,12.5
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,3.5
2017-03-31,10.0
2017-04-01,13.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,12.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,2.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,5.0
2017-04-12,14.0
2017-04-13,8.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,48.0
2017-04-17,10.5
2017-04-18,2.0
2017-04-19,4.5
2017-04-20,0.0
2017-04-21,23.0
2017-04-22,30.0
2017-04-23,4.5
2017-04-24,4.5
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,29.0
2017-04-28,3.5
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,4.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,10.5
2017-05-06,1.5
2017-05-07,8.5
2017-05-08,1.0
2017-05-09,6.0
2017-05-10,8.5
2017-05-11,14.5
2017-05-12,23.5
2017-05-13,2.5
2017-05-14,6.0
2017-05-15,14.5
2017-05-16,24.0
2017-05-17,11.5
2017-05-18,0.0
2017-05-19,14.5
2017-05-20,17.5
2017-05-21,9.0
2017-05-22,1.5
2017-05-23,1.0
2017-05-24,6.0
2017-05-25,15.0
2017-05-26,1.5
2017-05-27,17.5
2017-05-28,10.0
2017-05-29,19.0
2017-05-30,9.0
2017-05-31,0.0
2017-06-01,1.0
2017-06-02,86.5
2017-06-03,63.5
2017-06-04,7.5
2017-06-05,0.5
2017-06-06,0.0
2017-06-07,1.5
2017-06-08,0.0
2017-06-09,14.5
2017-06-10,31.0
2017-06-11,3.5
2017-06-12,6.5
2017-06-13,0.0
2017-06-14,17.5
2017-06-15,12.5
2017-06-16,4.0
2017-06-17,27.0
2017-06-18,6.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.5
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,35.5
2017-06-28,0.0
2017-06-29,6.5
2017-06-30,18.0
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,28.5
2017-07-04,0.5
2017-07-05,0.5
2017-07-06,39.5
2017-07-07,1.5
2017-07-08,1.5
2017-07-09,2.0
2017-07-10,1.5
2017-07-11,0.5
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,1.0
2017-07-16,31.5
2017-07-17,1.5
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,-9999.7
2017-07-24,-9999.7
