,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumDailyMean,AirTemperature.MaximumDailyMeanf,AirTemperature.MaximumDailyRange,AirTemperature.MaximumDailyRangeDate,AirTemperature.MaximumDailyRangeDatef,AirTemperature.MaximumDailyRangef,AirTemperature.MaximumGE30Days,AirTemperature.MaximumGE30Daysf,AirTemperature.MaximumGE35Days,AirTemperature.MaximumGE35Daysf,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.MeanDailyMaximum,AirTemperature.MeanDailyMaximumf,AirTemperature.MeanDailyMinimum,AirTemperature.MeanDailyMinimumf,AirTemperature.MeanDailyRange,AirTemperature.MeanDailyRangef,AirTemperature.MeanGE25Days,AirTemperature.MeanGE25Daysf,AirTemperature.MeanLE10Days,AirTemperature.MeanLE10Daysf,AirTemperature.Meanf,AirTemperature.MinimumDailyMean,AirTemperature.MinimumDailyMeanf,AirTemperature.MinimumGE20Days,AirTemperature.MinimumGE20Daysf,AirTemperature.MinimumLE10Days,AirTemperature.MinimumLE10Daysf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,CloudAmount,CloudAmountSat,DewPointTemperature.Meanf,EvaporationClassAPan.Accumulationf,EvaporationClassAPan.DailyMaximum,EvaporationClassAPan.DailyMaximumDate,EvaporationClassAPan.DailyMaximumDatef,EvaporationClassAPan.DailyMaximumf,EvaporationClassAPan.Flag,EvaporationClassAPan.Flagf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.Flag,GlobalSolarRadiation.Flagf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.Flag,PeakGust.Flagf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.GE10Days,Precipitation.GE10Daysf,Precipitation.GE1Days,Precipitation.GE1Daysf,Precipitation.GE30Days,Precipitation.GE30Daysf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,Precipitation.SixtyMinutelyMaximumFlag,Precipitation.SixtyMinutelyMaximumFlagf,Precipitation.SixtyMinutelyMaximumTimef,Precipitation.SixtyMinutelyMaximumf,Precipitation.TenMinutelyMaximumTimef,Precipitation.TenMinutelyMaximumf,PrecipitationDuration.Totalf,PrecpHour,PrecpMax60,PrecpMax60Time,RHMin,RHMinTime,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SeaLevelPressure.Maximum,SeaLevelPressure.MaximumTime,SeaLevelPressure.MaximumTimef,SeaLevelPressure.Maximumf,SeaLevelPressure.Meanf,SeaLevelPressure.Minimum,SeaLevelPressure.MinimumTime,SeaLevelPressure.MinimumTimef,SeaLevelPressure.Minimumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt30cm.Meanf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt5cm.Meanf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.MeanDailyRate,SunshineDuration.MeanDailyRatef,SunshineDuration.SunlessDays,SunshineDuration.SunlessDaysf,SunshineDuration.Totalf,TotalCloudAmount.BrokenSkyDays,TotalCloudAmount.BrokenSkyDaysf,TotalCloudAmount.ClearSkyDays,TotalCloudAmount.ClearSkyDaysf,TotalCloudAmount.Meanf,TotalCloudAmount.OvercastSkyDays,TotalCloudAmount.OvercastSkyDaysf,TotalCloudAmount.SatRetrievedBrokenSkyDays,TotalCloudAmount.SatRetrievedBrokenSkyDaysf,TotalCloudAmount.SatRetrievedClearSkyDays,TotalCloudAmount.SatRetrievedClearSkyDaysf,TotalCloudAmount.SatRetrievedMeanf,TotalCloudAmount.SatRetrievedOvercastSkyDays,TotalCloudAmount.SatRetrievedOvercastSkyDaysf,TotalCloudAmount.SatRetrievedScatteredSkyDays,TotalCloudAmount.SatRetrievedScatteredSkyDaysf,TotalCloudAmount.ScatteredSkyDays,TotalCloudAmount.ScatteredSkyDaysf,TxSoil30cm,UVIMax,UVIMaxTime,UVIndex.Flag,UVIndex.Flagf,UVIndex.MaximumTimef,UVIndex.Maximumf,UVIndex.MeanDailyMaximum,UVIndex.MeanDailyMaximumf,WindDirection.Prevailingf,WindDirection.TenMinutelyMaximum,WindDirection.TenMinutelyMaximumf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf,WindSpeed.TenMinutelyMaximum,WindSpeed.TenMinutelyMaximumFlag,WindSpeed.TenMinutelyMaximumFlagf,WindSpeed.TenMinutelyMaximumGE10Days,WindSpeed.TenMinutelyMaximumGE10Daysf,WindSpeed.TenMinutelyMaximumTime,WindSpeed.TenMinutelyMaximumTimef,WindSpeed.TenMinutelyMaximumf
2025-01-01,974.8,1024.8,984.2,2025-01-10T09:03:00,966.9,2025-01-24T13:52:00,11.4,23.4,2025-01-05T12:57:00,-29.0,2025-01-28T10:30:00,9.4,0.7,200,8.4,340,2025-01-23T12:39:00,65.0,16,1.0,2025-01-02T03:47:00,,,12.0,2025-01-27T00:00:00,89,,-99.5,192.06,11.8,12.2,12.6,13.2,14.3,16.1,15.4,,29.0,2025-01-27T00:00:00,,,-9995,,-9995,,,,15.7,,3.9,,8.4,,0,,9,,,3.8,,-9995,,22,,,,,8.7,,,,,,,,,,0,,,,,,,0,,,,,12.0,2025-01-27T00:00:00,,0,,,0,,1,,12,,0,,,,,,,,16,0,,,0,,,,,,,-999.9,2.5,2025-01-27T01:52:00,36,2025-01-12T12:43:00,100,2025-01-31T00:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-99.5,,0,,,,,,,,,,15,,0,,,14,,2,,,,-99.5,,,,,,,,,,330,,0,,,3.1,0,,0,,2025-01-23T11:59:00,,
2025-02-01,974.9,1024.8,985.2,2025-02-24T09:19:00,965.3,2025-02-01T15:27:00,13.0,28.6,2025-02-28T13:14:00,-15.5,2025-02-01T09:43:00,11.5,0.7,190,7.3,160,2025-02-22T09:39:00,163.0,18,2.0,2025-02-13T03:23:00,23.0,,44.0,2025-02-13T00:00:00,92,,-99.5,181.47,13.4,13.7,13.9,14.2,14.6,15.5,18.3,,18.3,2025-02-28T00:00:00,,,0,,0,,,,17.5,,9.1,,7.1,32.0,0,32.0,6,32.0,32.0,5.9,,0,,12,,,,,8.8,,,,,,,,,23.0,0,,23.0,23.0,,,23.0,0,,,23.0,23.0,44.0,2025-02-13T00:00:00,,0,,23.0,0,,5,23.0,14,23.0,2,23.0,,,,,,23.0,18,0,,23.0,0,,,,,,672.0,-999.9,8.0,2025-02-13T03:11:00,45,2025-02-28T12:44:00,100,2025-02-28T00:01:00,,,23.0,,,,,,,32.0,,,,,23.0,23.0,23.0,23.0,,23.0,23.0,,,23.0,,,1,,-99.5,,0,,23.0,,672.0,,672.0,672.0,,672.0,7,672.0,0,672.0,29.0,19,672.0,2,672.0,,672.0,-99.5,,,,,,,,,672.0,320,,0,,23.0,2.7,0,,0,,2025-02-16T13:49:00,,
2025-03-01,971.3,1020.9,980.3,2025-03-19T09:31:00,957.7,2025-03-27T14:37:00,15.4,34.1,2025-03-27T13:44:00,-25.8,2025-03-23T09:42:00,12.9,0.6,190,10.3,310,2025-03-15T11:03:00,221.5,14,23.5,2025-03-15T11:04:00,,,49.0,2025-03-15T00:00:00,88,,-99.5,325.08,15.5,15.7,15.8,16.1,16.3,16.6,23.4,,30.0,2025-03-24T00:00:00,,,5,,-9995,,,,21.8,,10.3,,10.2,,0,,3,,,8.1,,-9995,,8,,,,,7.7,,,,,,,,,,0,,,,,,,0,,,,,49.0,2025-03-15T00:00:00,,0,,,0,,6,,14,,4,,,,,,,,14,0,,,0,,,,,,,-999.9,28.0,2025-03-15T10:57:00,0,2025-03-24T07:52:00,100,2025-03-24T00:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-99.5,,0,,,,,,,,,,9,,0,,,15,,7,,,,-99.5,,,,,,,,,,340,,0,,,3.2,0,,0,,2025-03-15T11:07:00,,
2025-04-01,967.6,1017.0,974.8,2025-04-03T08:31:00,959.9,2025-04-22T15:56:00,19.1,35.6,2025-04-22T12:54:00,9.4,2025-04-14T05:53:00,15.8,0.5,210,8.5,350,2025-04-10T12:58:00,132.0,14,5.5,2025-04-19T23:19:00,,,21.0,2025-04-12T00:00:00,83,,-99.5,388.53,18.3,18.3,18.2,18.3,17.9,17.6,24.3,,20.8,2025-04-14T00:00:00,,,9,,1,,,,25.9,,14.4,,11.5,,0,,0,,,11.8,,2,,3,,,,,8.5,,,,,,,,,,0,,,,,,,0,,,,,21.0,2025-04-12T00:00:00,,0,,,0,,6,,12,,0,,,,,,,,14,0,,,0,,,,,,,-999.9,17.5,2025-04-19T22:58:00,18,2025-04-14T11:17:00,98,2025-04-30T04:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-99.5,,0,,,,,,,,,,8,,0,,,17,,5,,,,-99.5,,,,,,,,,,340,,0,,,2.7,0,,0,,2025-04-12T23:17:00,,
2025-05-01,966.0,1015.3,971.8,2025-05-25T22:26:00,959.6,2025-05-23T15:48:00,22.1,34.8,2025-05-22T12:22:00,13.7,2025-05-13T04:48:00,19.5,0.4,320,6.5,360,2025-05-10T09:20:00,272.5,19,5.0,2025-05-07T13:37:00,,,82.5,2025-05-07T00:00:00,86,,-99.5,400.24,21.2,21.1,21.0,21.1,20.6,20.0,25.9,,16.7,2025-05-13T00:00:00,,,15,,0,,,,28.5,,18.1,,10.4,,5,,0,,,17.0,,7,,0,,,,,8.9,,,,,,,,,,0,,,,,,,0,,,,,82.5,2025-05-07T00:00:00,,0,,,0,,6,,15,,3,,,,,,,,19,0,,,0,,,,,,,-999.9,13.0,2025-05-10T12:59:00,46,2025-05-14T10:17:00,98,2025-05-29T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-99.5,,0,,,,,,,,,,12,,0,,,18,,1,,,,-99.5,,,,,,,,,,330,,0,,,2.5,0,,0,,2025-05-23T11:24:00,,
2025-06-01,963.4,1012.4,968.5,2025-06-18T22:18:00,955.2,2025-06-02T14:06:00,25.4,36.3,2025-06-11T13:46:00,18.2,2025-06-28T03:13:00,22.5,0.4,220,6.0,320,2025-06-21T11:27:00,167.0,16,6.5,2025-06-06T17:33:00,,,41.0,2025-06-06T00:00:00,85,,-99.5,501.78,24.8,24.6,24.4,24.2,23.0,21.8,27.4,,14.9,2025-06-28T00:00:00,,,25,,6,,,,32.6,,21.2,,11.4,,20,,0,,,21.6,,27,,0,,,,,7.8,,,,,,,,,,0,,,,,,,0,,,,,41.0,2025-06-06T00:00:00,,0,,,0,,6,,13,,2,,,,,,,,16,0,,,0,,,,,,,-999.9,29.5,2025-06-06T16:45:00,49,2025-06-18T11:55:00,98,2025-06-30T05:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-99.5,,0,,,,,,,,,,8,,0,,,15,,7,,,,-99.5,,,,,,,,,,330,,0,,,2.2,0,,0,,2025-06-21T11:28:00,,
2025-07-01,957.9,1006.6,966.6,2025-07-02T06:39:00,949.3,2025-07-29T04:14:00,25.2,35.2,2025-07-15T12:27:00,20.2,2025-07-04T04:12:00,22.8,0.4,230,9.9,300,2025-07-19T15:12:00,342.0,17,13.0,2025-07-23T22:01:00,,,119.5,2025-07-19T00:00:00,87,,-99.5,387.32,25.8,26.1,26.1,26.3,25.8,24.7,27.0,,13.1,2025-07-04T00:00:00,,,17,,1,,,,30.3,,22.0,,8.2,,19,,0,,,22.1,,31,,0,,,,,8.2,,,,,,,,,,0,,,,,,,0,,,,,119.5,2025-07-19T00:00:00,,0,,,0,,11,,17,,2,,,,,,,,17,0,,,0,,,,,,,-999.9,26.5,2025-07-19T06:59:00,51,2025-07-15T12:02:00,98,2025-07-31T01:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-99.5,,0,,,,,,,,,,8,,0,,,17,,6,,,,-99.5,,,,,,,,,,310,,0,,,2.2,0,,0,,2025-07-12T13:34:00,,
2025-08-01,964.8,1013.9,969.8,2025-08-18T21:40:00,955.6,2025-08-01T01:54:00,25.5,35.6,2025-08-23T13:46:00,18.8,2025-08-21T02:17:00,22.2,0.5,230,9.4,280,2025-08-13T11:02:00,126.0,11,13.0,2025-08-13T07:51:00,,,52.0,2025-08-13T00:00:00,83,,-99.5,516.68,25.8,25.7,25.6,25.8,25.4,24.8,27.4,,15.7,2025-08-21T00:00:00,,,27,,2,,,,32.7,,21.1,,11.6,,22,,0,,,23.6,,24,,0,,,,,5.4,,,,,,,1.0,,,1,,,,,,,1,,,,,52.0,2025-08-13T00:00:00,,1,,,1,,4,,9,,1,,,,,,,,11,1,,,1,,,,,,,-999.9,21.0,2025-08-13T07:09:00,41,2025-08-21T12:36:00,99,2025-08-22T07:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-99.5,,0,,,,,,,,,,8,,1,,,4,,18,,,,-99.5,,,,,,,,,,220,,1,,,2.7,1,,0,,2025-08-13T12:38:00,,
2025-09-01,966.1,1015.3,971.8,2025-09-26T09:35:00,958.2,2025-09-23T04:06:00,25.2,34.8,2025-09-07T12:42:00,19.0,2025-09-30T05:36:00,22.1,0.6,220,10.4,280,2025-09-23T14:38:00,366.0,12,13.5,2025-09-22T16:18:00,,,187.0,2025-09-22T00:00:00,84,,-99.5,450.3,25.1,25.0,25.0,25.2,25.0,24.6,26.8,,14.7,2025-09-30T00:00:00,,,27,,0,,,,32.1,,21.1,,11.0,,18,,0,,,23.9,,27,,0,,,,,5.9,,,,,,,,,,0,,,,,,,0,,,,720.0,187.0,2025-09-22T00:00:00,,0,,,0,,4,,10,,2,,,,,,,,12,0,,,0,,,,,,,-999.9,44.5,2025-09-22T15:58:00,48,2025-09-20T10:25:00,99,2025-09-28T06:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-99.5,,0,,,,,,,,,,7,,0,,,8,,15,,,,-99.5,,,,,,,,,,230,,0,,,3.1,0,,0,,2025-09-23T00:15:00,,
2025-10-01,969.7,1019.1,975.3,2025-10-28T20:26:00,965.1,2025-10-11T13:33:00,23.0,35.1,2025-10-13T12:27:00,18.1,2025-10-29T01:38:00,20.2,0.6,210,9.6,280,2025-10-21T09:22:00,689.5,14,8.0,2025-10-20T16:21:00,,,201.0,2025-10-20T00:00:00,86,,-99.5,323.83,23.0,23.1,23.1,23.4,23.5,23.6,26.4,,15.8,2025-10-01T00:00:00,,,16,,1,,,,28.2,,19.5,,8.7,,7,,0,,,19.2,,7,,0,,,,,5.4,,,,,,,1.0,,,1,,,,,,,1,,,,,201.0,2025-10-20T00:00:00,,1,,,1,,11,,13,,6,,,,,,,,14,1,,,1,,,,,,,-999.9,32.0,2025-10-20T16:09:00,39,2025-10-12T10:59:00,99,2025-10-31T06:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-99.5,,0,,,,,,,,,,5,,5,,,10,,11,,,,-99.5,,,,,,,,,,260,,1,,,3.6,1,,0,,2025-10-21T09:45:00,,
