,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,GloblRad,EvapA,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2007-02-01,,,,,,,8.6,17.0,2007-02-01 00:00:00,5.5,2007-02-01 00:00:00,,85,,,,45.0,,,,0.0,,,,,6.1,,2.0,,,,,,
2007-02-02,,,,,,,10.8,16.9,2007-02-02 00:00:00,4.0,2007-02-02 00:00:00,,79,,,,225.0,,,,0.0,,,,,4.5,,2.0,,,,,,
2007-02-03,,,,,,,10.8,11.6,2007-02-03 00:00:00,8.8,2007-02-03 00:00:00,,87,,,,225.0,,,,0.0,,,,,7.3,,0.7,,,,,,
2007-02-04,,,,,,,13.2,16.1,2007-02-04 00:00:00,4.9,2007-02-04 00:00:00,,68,,,,225.0,,,,0.0,,,,,6.9,,2.9,,,,,,
2007-02-05,,,,,,,16.8,18.0,2007-02-05 00:00:00,10.0,2007-02-05 00:00:00,,62,,,,225.0,,,,0.0,,,,,7.6,,1.9,,,,,,
2007-02-06,,,,,,,14.8,20.0,2007-02-06 00:00:00,9.0,2007-02-06 00:00:00,,76,,,,90.0,,,,0.0,,,,,8.1,,1.3,,,,,,
2007-02-07,,,,,,,11.4,21.0,2007-02-07 00:00:00,10.0,2007-02-07 00:00:00,,93,,,,360.0,,,,0.0,,,,,7.9,,2.0,,,,,,
2007-02-08,,,,,,,14.6,23.2,2007-02-08 00:00:00,11.0,2007-02-08 00:00:00,,87,,,,315.0,,,,0.0,,,,,7.8,,2.8,,,,,,
2007-02-09,,,,,,,16.4,23.1,2007-02-09 00:00:00,14.0,2007-02-09 00:00:00,,96,,,,360.0,,,,3.6,,,,,6.8,,2.0,,,,,,
2007-02-10,,,,,,,15.8,21.8,2007-02-10 00:00:00,13.0,2007-02-10 00:00:00,,96,,,,135.0,,,,6.5,,,,,3.8,,0.3,,,,,,
