,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2002-01-01,,,,,,,14.6,27.3,2002-01-15 00:00:00,2.2,2002-01-03 00:00:00,,,,,,,18.0,,,,,,,,70,,173.0,,,,,,,
2002-02-01,,,,,,,16.1,24.4,2002-02-28 00:00:00,8.2,2002-02-02 00:00:00,,,,,,,4.5,,,,,,,,71,,153.7,,,,,,,
2002-03-01,,,,,,,19.6,28.0,2002-03-22 00:00:00,8.3,2002-03-08 00:00:00,,,,,,,32.0,,,,,,,,72,,153.1,,,,,,,
2002-04-01,,,,,,,22.9,31.4,2002-04-16 00:00:00,15.1,2002-04-12 00:00:00,,,,,,,12.5,,,,,,,,74,,172.3,,,,,,,
2002-05-01,,,,,,,24.5,31.3,2002-05-12 00:00:00,17.9,2002-05-19 00:00:00,,,,,,,251.5,,,,,,,,72,,141.5,,,,,,,
2002-06-01,,,,,,,26.0,32.8,2002-06-25 00:00:00,21.8,2002-06-05 00:00:00,,,,,,,196.5,,,,,,,,75,,133.6,,,,,,,
2002-07-01,,,,,,,26.4,32.3,2002-07-05 00:00:00,21.3,2002-07-22 00:00:00,,,,,,,489.5,,,,,,,,74,,162.0,,,,,,,
2002-08-01,,,,,,,26.5,32.6,2002-08-02 00:00:00,22.3,2002-08-28 00:00:00,,,,,,,141.0,,,,,,,,73,,156.4,,,,,,,
2002-09-01,,,,,,,24.6,31.1,2002-09-08 00:00:00,19.8,2002-09-08 00:00:00,,,,,,,186.5,,,,,,,,74,,146.5,,,,,,,
2002-10-01,,,,,,,23.1,30.2,2002-10-04 00:00:00,16.8,2002-10-09 00:00:00,,,,,,,19.0,,,,,,,,74,,155.0,,,,,,,
2002-11-01,,,,,,,19.3,28.7,2002-11-14 00:00:00,11.0,2002-11-26 00:00:00,,,,,,,5.0,,,,,,,,68,,165.8,,,,,,,
2002-12-01,,,,,,,16.8,29.3,2002-12-07 00:00:00,6.9,2002-12-13 00:00:00,,,,,,,84.0,,,,,,,,74,,149.1,,,,,,,
2003-01-01,,,,,,,14.1,25.0,2003-01-26 00:00:00,4.9,2003-01-06 00:00:00,,,,,,,20.0,,,,,,,,69,,195.4,,,,,,,
