,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH
2022-01-01,1015.9,1018.8,1023.8,2022-01-01 09:13:00,1008.1,2022-01-29 15:19:00,17.4,24.7,2022-01-27 11:47:00,10.6,2022-01-31 05:58:00,12.8,3.3,20.0,15.6,30.0,2022-01-30 14:17:00,18.5,8,2.5,2022-01-22 16:47:00,5.0,2022-01-22 16:03:00,5.5,2022-01-22 00:00:00,74
2022-02-01,1016.4,1019.3,1023.1,2022-02-25 09:05:00,1009.6,2022-02-13 16:10:00,16.1,25.8,2022-02-28 12:57:00,10.1,2022-02-20 20:32:00,12.3,3.7,20.0,18.4,360.0,2022-02-20 10:23:00,56.0,12,2.0,2022-02-03 17:29:00,6.5,2022-02-20 01:41:00,19.5,2022-02-20 00:00:00,78
2022-03-01,1012.2,1015.1,1017.8,2022-03-28 22:10:00,1005.3,2022-03-18 03:58:00,20.7,29.6,2022-03-13 14:25:00,12.1,2022-03-08 01:11:00,16.4,2.3,350.0,12.6,30.0,2022-03-07 14:55:00,81.0,10,6.5,2022-03-23 07:46:00,13.0,2022-03-23 07:40:00,30.5,2022-03-23 00:00:00,77
2022-04-01,1011.6,1014.5,1020.0,2022-04-05 09:05:00,1003.4,2022-04-13 16:08:00,22.7,32.7,2022-04-27 14:02:00,12.9,2022-04-03 05:59:00,17.9,2.4,10.0,13.5,20.0,2022-04-02 13:12:00,14.5,6,1.0,2022-04-03 06:09:00,2.0,2022-04-02 16:06:00,9.5,2022-04-02 00:00:00,74
2022-05-01,1008.2,1011.1,1013.5,2022-05-03 09:42:00,1001.9,2022-05-26 17:09:00,24.2,32.5,2022-05-31 14:37:00,15.7,2022-05-02 06:17:00,20.7,2.1,10.0,11.4,10.0,2022-05-01 17:15:00,262.5,15,14.5,2022-05-27 13:15:00,32.0,2022-05-27 13:08:00,64.5,2022-05-27 00:00:00,81
2022-06-01,1006.4,1009.3,1011.0,2022-06-23 08:12:00,1001.0,2022-06-30 16:15:00,28.2,34.7,2022-06-23 11:47:00,23.0,2022-06-08 17:03:00,23.5,1.9,220.0,11.4,230.0,2022-06-06 15:13:00,220.0,10,16.5,2022-06-08 12:10:00,46.0,2022-06-24 16:47:00,99.5,2022-06-08 00:00:00,76
2022-07-01,1005.6,1008.5,1011.7,2022-07-21 07:24:00,999.9,2022-07-30 16:14:00,29.6,35.2,2022-07-20 12:35:00,24.8,2022-07-06 05:11:00,24.2,1.6,240.0,13.0,280.0,2022-07-04 16:12:00,39.0,5,10.0,2022-07-02 16:19:00,18.5,2022-07-02 16:07:00,26.0,2022-07-02 00:00:00,73
2022-08-01,1006.4,1009.3,1011.1,2022-08-25 22:52:00,1001.5,2022-08-23 16:52:00,29.0,36.0,2022-08-27 13:12:00,23.8,2022-08-28 00:06:00,24.1,1.5,360.0,9.6,250.0,2022-08-25 14:18:00,191.0,13,16.5,2022-08-17 19:18:00,56.0,2022-08-17 19:16:00,100.5,2022-08-17 00:00:00,75
2022-09-01,1005.4,1008.3,1012.8,2022-09-07 09:50:00,994.3,2022-09-03 04:22:00,27.5,33.4,2022-09-28 11:32:00,21.3,2022-09-23 05:52:00,22.1,2.5,20.0,17.6,10.0,2022-09-02 14:01:00,24.5,4,3.0,2022-09-03 08:15:00,6.5,2022-09-03 07:46:00,21.5,2022-09-03 00:00:00,73
2022-10-01,1010.6,1013.5,1016.2,2022-10-25 09:21:00,1000.4,2022-10-16 15:39:00,24.9,32.8,2022-10-05 16:20:00,19.2,2022-10-21 05:46:00,19.4,3.1,20.0,16.4,30.0,2022-10-17 15:01:00,7.0,4,1.0,2022-10-16 10:06:00,2.5,2022-10-16 09:44:00,4.5,2022-10-16 00:00:00,72
2022-11-01,1012.6,1015.5,1017.3,2022-11-30 10:20:00,1002.5,2022-11-01 13:53:00,23.6,32.6,2022-11-28 12:25:00,19.0,2022-11-30 22:03:00,19.8,2.3,10.0,12.3,10.0,2022-11-01 02:50:00,1.0,1,0.5,2022-11-01 04:14:00,1.0,2022-11-01 04:00:00,1.0,2022-11-01 00:00:00,79
2022-12-01,1015.8,1018.7,1023.3,2022-12-18 08:45:00,1007.1,2022-12-10 15:02:00,17.5,25.6,2022-12-03 13:22:00,8.2,2022-12-19 05:58:00,11.6,4.1,20.0,19.0,10.0,2022-12-17 13:32:00,13.0,1,2.5,2022-12-17 03:04:00,6.5,2022-12-17 02:32:00,13.0,2022-12-17 00:00:00,69
2023-01-01,1017.1,1020.0,1023.2,2023-01-24 09:19:00,1005.8,2023-01-14 14:50:00,17.4,29.3,2023-01-13 14:00:00,8.1,2023-01-25 06:12:00,13.2,3.6,10.0,19.5,30.0,2023-01-24 09:06:00,4.5,1,1.0,2023-01-02 05:12:00,1.5,2023-01-02 06:26:00,4.5,2023-01-02 00:00:00,76
